# ground truth trajectory
# file: 'rgbd_dataset_freiburg2_pioneer_slam.bag'
# timestamp tx ty tz qx qy qz qw
1311878193.9103 -2.3174 -2.1669 0.5874 -0.7163 0.2095 -0.1835 0.6398
1311878193.9136 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1836 0.6400
1311878193.9170 -2.3174 -2.1669 0.5874 -0.7163 0.2093 -0.1834 0.6399
1311878193.9203 -2.3173 -2.1669 0.5874 -0.7161 0.2094 -0.1836 0.6400
1311878193.9236 -2.3174 -2.1669 0.5874 -0.7160 0.2094 -0.1837 0.6401
1311878193.9270 -2.3173 -2.1669 0.5874 -0.7161 0.2094 -0.1836 0.6400
1311878193.9303 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1835 0.6400
1311878193.9336 -2.3174 -2.1669 0.5874 -0.7162 0.2095 -0.1836 0.6399
1311878193.9369 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1836 0.6399
1311878193.9402 -2.3174 -2.1669 0.5874 -0.7162 0.2095 -0.1836 0.6399
1311878193.9436 -2.3174 -2.1669 0.5874 -0.7161 0.2094 -0.1836 0.6400
1311878193.9470 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1836 0.6400
1311878193.9502 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1836 0.6400
1311878193.9536 -2.3174 -2.1669 0.5874 -0.7162 0.2095 -0.1836 0.6399
1311878193.9570 -2.3174 -2.1669 0.5874 -0.7163 0.2092 -0.1834 0.6399
1311878193.9602 -2.3174 -2.1668 0.5874 -0.7161 0.2094 -0.1836 0.6401
1311878193.9636 -2.3174 -2.1670 0.5874 -0.7163 0.2095 -0.1835 0.6398
1311878193.9666 -2.3174 -2.1669 0.5873 -0.7162 0.2094 -0.1835 0.6399
1311878193.9700 -2.3174 -2.1669 0.5874 -0.7161 0.2094 -0.1836 0.6400
1311878193.9733 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1835 0.6399
1311878193.9767 -2.3174 -2.1670 0.5874 -0.7163 0.2094 -0.1835 0.6398
1311878193.9800 -2.3174 -2.1669 0.5874 -0.7163 0.2094 -0.1834 0.6399
1311878193.9833 -2.3174 -2.1669 0.5874 -0.7162 0.2095 -0.1835 0.6399
1311878193.9866 -2.3174 -2.1670 0.5874 -0.7164 0.2095 -0.1835 0.6397
1311878193.9900 -2.3174 -2.1669 0.5874 -0.7163 0.2094 -0.1835 0.6399
1311878193.9933 -2.3174 -2.1669 0.5874 -0.7163 0.2095 -0.1835 0.6398
1311878193.9969 -2.3174 -2.1669 0.5874 -0.7161 0.2094 -0.1835 0.6401
1311878194.0002 -2.3174 -2.1669 0.5874 -0.7162 0.2095 -0.1835 0.6399
1311878194.0035 -2.3174 -2.1669 0.5874 -0.7163 0.2093 -0.1834 0.6399
1311878194.0069 -2.3174 -2.1669 0.5874 -0.7162 0.2095 -0.1836 0.6399
1311878194.0102 -2.3173 -2.1669 0.5874 -0.7162 0.2094 -0.1837 0.6399
1311878194.0136 -2.3174 -2.1669 0.5874 -0.7163 0.2095 -0.1835 0.6399
1311878194.0169 -2.3173 -2.1669 0.5873 -0.7162 0.2094 -0.1837 0.6399
1311878194.0202 -2.3174 -2.1669 0.5874 -0.7163 0.2093 -0.1835 0.6398
1311878194.0235 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1836 0.6399
1311878194.0269 -2.3173 -2.1669 0.5874 -0.7162 0.2093 -0.1835 0.6399
1311878194.0302 -2.3174 -2.1669 0.5874 -0.7162 0.2093 -0.1836 0.6399
1311878194.0336 -2.3174 -2.1669 0.5874 -0.7164 0.2094 -0.1833 0.6398
1311878194.0369 -2.3174 -2.1670 0.5874 -0.7162 0.2094 -0.1836 0.6399
1311878194.0403 -2.3174 -2.1669 0.5874 -0.7163 0.2095 -0.1835 0.6398
1311878194.0436 -2.3174 -2.1669 0.5874 -0.7163 0.2094 -0.1835 0.6399
1311878194.0469 -2.3174 -2.1670 0.5874 -0.7163 0.2094 -0.1835 0.6398
1311878194.0503 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1835 0.6400
1311878194.0536 -2.3174 -2.1669 0.5874 -0.7163 0.2095 -0.1834 0.6398
1311878194.0569 -2.3174 -2.1669 0.5874 -0.7163 0.2094 -0.1835 0.6398
1311878194.0602 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1836 0.6400
1311878194.0634 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1835 0.6400
1311878194.0668 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1835 0.6400
1311878194.0701 -2.3173 -2.1669 0.5874 -0.7161 0.2094 -0.1836 0.6400
1311878194.0735 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1835 0.6400
1311878194.0768 -2.3173 -2.1669 0.5874 -0.7162 0.2094 -0.1836 0.6400
1311878194.0801 -2.3173 -2.1669 0.5874 -0.7162 0.2094 -0.1835 0.6400
1311878194.0834 -2.3174 -2.1669 0.5874 -0.7161 0.2094 -0.1836 0.6400
1311878194.0870 -2.3174 -2.1669 0.5874 -0.7161 0.2095 -0.1836 0.6400
1311878194.0901 -2.3174 -2.1669 0.5874 -0.7162 0.2095 -0.1835 0.6400
1311878194.0934 -2.3174 -2.1670 0.5874 -0.7164 0.2095 -0.1838 0.6397
1311878194.0968 -2.3174 -2.1669 0.5874 -0.7163 0.2094 -0.1835 0.6398
1311878194.1000 -2.3174 -2.1670 0.5874 -0.7164 0.2093 -0.1833 0.6398
1311878194.1034 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1835 0.6399
1311878194.1067 -2.3174 -2.1669 0.5874 -0.7161 0.2094 -0.1837 0.6400
1311878194.1101 -2.3174 -2.1670 0.5874 -0.7162 0.2094 -0.1836 0.6399
1311878194.1134 -2.3174 -2.1669 0.5874 -0.7162 0.2095 -0.1835 0.6399
1311878194.1167 -2.3173 -2.1669 0.5874 -0.7160 0.2095 -0.1836 0.6401
1311878194.1200 -2.3174 -2.1669 0.5874 -0.7164 0.2095 -0.1834 0.6398
1311878194.1234 -2.3174 -2.1669 0.5874 -0.7162 0.2093 -0.1835 0.6400
1311878194.1268 -2.3174 -2.1669 0.5874 -0.7163 0.2094 -0.1834 0.6399
1311878194.1301 -2.3174 -2.1669 0.5873 -0.7162 0.2095 -0.1835 0.6399
1311878194.1335 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1835 0.6399
1311878194.1368 -2.3174 -2.1669 0.5874 -0.7163 0.2094 -0.1835 0.6398
1311878194.1402 -2.3174 -2.1670 0.5873 -0.7164 0.2094 -0.1834 0.6398
1311878194.1435 -2.3173 -2.1669 0.5874 -0.7162 0.2093 -0.1835 0.6400
1311878194.1468 -2.3174 -2.1669 0.5874 -0.7162 0.2093 -0.1835 0.6400
1311878194.1501 -2.3174 -2.1669 0.5874 -0.7164 0.2095 -0.1834 0.6398
1311878194.1534 -2.3174 -2.1669 0.5873 -0.7162 0.2094 -0.1835 0.6399
1311878194.1568 -2.3173 -2.1669 0.5874 -0.7162 0.2093 -0.1836 0.6399
1311878194.1602 -2.3174 -2.1670 0.5873 -0.7163 0.2094 -0.1835 0.6398
1311878194.1635 -2.3173 -2.1669 0.5874 -0.7161 0.2094 -0.1836 0.6400
1311878194.1668 -2.3174 -2.1669 0.5874 -0.7163 0.2094 -0.1836 0.6399
1311878194.1702 -2.3174 -2.1669 0.5874 -0.7163 0.2093 -0.1835 0.6399
1311878194.1735 -2.3174 -2.1668 0.5874 -0.7162 0.2093 -0.1835 0.6400
1311878194.1769 -2.3174 -2.1669 0.5873 -0.7162 0.2095 -0.1836 0.6400
1311878194.1802 -2.3174 -2.1670 0.5874 -0.7163 0.2095 -0.1835 0.6398
1311878194.1835 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1835 0.6399
1311878194.1869 -2.3173 -2.1669 0.5874 -0.7162 0.2095 -0.1836 0.6399
1311878194.1907 -2.3174 -2.1669 0.5874 -0.7161 0.2093 -0.1835 0.6401
1311878194.1934 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1835 0.6400
1311878194.1968 -2.3173 -2.1669 0.5874 -0.7161 0.2094 -0.1836 0.6400
1311878194.2001 -2.3173 -2.1669 0.5874 -0.7161 0.2095 -0.1837 0.6400
1311878194.2035 -2.3173 -2.1669 0.5874 -0.7162 0.2094 -0.1836 0.6399
1311878194.2068 -2.3174 -2.1670 0.5874 -0.7164 0.2095 -0.1835 0.6397
1311878194.2101 -2.3174 -2.1669 0.5874 -0.7162 0.2093 -0.1835 0.6400
1311878194.2135 -2.3173 -2.1669 0.5874 -0.7161 0.2093 -0.1836 0.6400
1311878194.2167 -2.3174 -2.1669 0.5874 -0.7163 0.2094 -0.1834 0.6399
1311878194.2201 -2.3174 -2.1669 0.5874 -0.7163 0.2095 -0.1835 0.6398
1311878194.2233 -2.3174 -2.1670 0.5874 -0.7163 0.2094 -0.1836 0.6398
1311878194.2267 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1835 0.6400
1311878194.2301 -2.3174 -2.1669 0.5873 -0.7163 0.2094 -0.1835 0.6398
1311878194.2333 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1836 0.6400
1311878194.2367 -2.3174 -2.1670 0.5874 -0.7164 0.2094 -0.1834 0.6398
1311878194.2400 -2.3173 -2.1669 0.5874 -0.7161 0.2093 -0.1836 0.6401
1311878194.2442 -2.3174 -2.1669 0.5874 -0.7163 0.2094 -0.1834 0.6398
1311878194.2467 -2.3174 -2.1669 0.5874 -0.7162 0.2095 -0.1835 0.6399
1311878194.2501 -2.3174 -2.1669 0.5874 -0.7162 0.2095 -0.1835 0.6400
1311878194.2533 -2.3174 -2.1669 0.5873 -0.7163 0.2093 -0.1835 0.6398
1311878194.2568 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1836 0.6400
1311878194.2602 -2.3174 -2.1669 0.5874 -0.7163 0.2095 -0.1836 0.6399
1311878194.2634 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1835 0.6400
1311878194.2667 -2.3174 -2.1670 0.5874 -0.7163 0.2094 -0.1834 0.6398
1311878194.2701 -2.3174 -2.1669 0.5873 -0.7162 0.2095 -0.1835 0.6399
1311878194.2734 -2.3173 -2.1669 0.5874 -0.7161 0.2093 -0.1837 0.6400
1311878194.2768 -2.3174 -2.1670 0.5874 -0.7163 0.2094 -0.1835 0.6398
1311878194.2801 -2.3174 -2.1669 0.5874 -0.7163 0.2094 -0.1835 0.6399
1311878194.2834 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1835 0.6399
1311878194.2876 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1835 0.6399
1311878194.2902 -2.3174 -2.1670 0.5874 -0.7162 0.2094 -0.1835 0.6399
1311878194.2935 -2.3174 -2.1669 0.5874 -0.7161 0.2094 -0.1835 0.6400
1311878194.2968 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1836 0.6399
1311878194.3002 -2.3174 -2.1669 0.5874 -0.7162 0.2093 -0.1835 0.6400
1311878194.3035 -2.3173 -2.1669 0.5874 -0.7161 0.2093 -0.1836 0.6400
1311878194.3068 -2.3174 -2.1669 0.5873 -0.7163 0.2095 -0.1835 0.6398
1311878194.3101 -2.3174 -2.1669 0.5874 -0.7161 0.2093 -0.1835 0.6400
1311878194.3135 -2.3174 -2.1669 0.5874 -0.7162 0.2093 -0.1834 0.6400
1311878194.3168 -2.3174 -2.1669 0.5874 -0.7161 0.2095 -0.1836 0.6399
1311878194.3200 -2.3174 -2.1669 0.5873 -0.7164 0.2094 -0.1835 0.6398
1311878194.3233 -2.3173 -2.1669 0.5874 -0.7162 0.2094 -0.1836 0.6400
1311878194.3267 -2.3173 -2.1669 0.5874 -0.7161 0.2093 -0.1835 0.6401
1311878194.3308 -2.3174 -2.1669 0.5873 -0.7164 0.2093 -0.1835 0.6398
1311878194.3333 -2.3173 -2.1669 0.5874 -0.7161 0.2094 -0.1836 0.6400
1311878194.3366 -2.3174 -2.1669 0.5874 -0.7162 0.2093 -0.1834 0.6399
1311878194.3400 -2.3174 -2.1669 0.5873 -0.7162 0.2095 -0.1835 0.6399
1311878194.3433 -2.3174 -2.1669 0.5874 -0.7161 0.2093 -0.1835 0.6400
1311878194.3466 -2.3173 -2.1669 0.5874 -0.7161 0.2095 -0.1837 0.6400
1311878194.3500 -2.3174 -2.1669 0.5874 -0.7163 0.2094 -0.1835 0.6398
1311878194.3536 -2.3173 -2.1669 0.5874 -0.7161 0.2094 -0.1835 0.6400
1311878194.3570 -2.3173 -2.1669 0.5874 -0.7160 0.2094 -0.1836 0.6401
1311878194.3603 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1836 0.6400
1311878194.3635 -2.3174 -2.1670 0.5874 -0.7164 0.2094 -0.1835 0.6397
1311878194.3669 -2.3174 -2.1669 0.5874 -0.7163 0.2094 -0.1835 0.6398
1311878194.3702 -2.3173 -2.1669 0.5874 -0.7162 0.2094 -0.1837 0.6399
1311878194.3735 -2.3174 -2.1669 0.5874 -0.7163 0.2094 -0.1835 0.6398
1311878194.3769 -2.3174 -2.1669 0.5873 -0.7162 0.2094 -0.1836 0.6399
1311878194.3804 -2.3174 -2.1669 0.5874 -0.7161 0.2094 -0.1836 0.6400
1311878194.3836 -2.3174 -2.1669 0.5874 -0.7162 0.2093 -0.1835 0.6400
1311878194.3867 -2.3174 -2.1669 0.5873 -0.7162 0.2094 -0.1836 0.6399
1311878194.3902 -2.3173 -2.1669 0.5874 -0.7162 0.2094 -0.1837 0.6399
1311878194.3934 -2.3174 -2.1670 0.5873 -0.7164 0.2095 -0.1835 0.6397
1311878194.3968 -2.3174 -2.1670 0.5873 -0.7163 0.2095 -0.1835 0.6398
1311878194.4001 -2.3174 -2.1669 0.5873 -0.7164 0.2094 -0.1834 0.6398
1311878194.4034 -2.3174 -2.1669 0.5874 -0.7162 0.2093 -0.1835 0.6399
1311878194.4067 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1835 0.6400
1311878194.4101 -2.3174 -2.1670 0.5874 -0.7163 0.2094 -0.1836 0.6398
1311878194.4134 -2.3174 -2.1669 0.5874 -0.7162 0.2093 -0.1835 0.6400
1311878194.4168 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1836 0.6399
1311878194.4201 -2.3174 -2.1670 0.5874 -0.7163 0.2095 -0.1834 0.6398
1311878194.4234 -2.3174 -2.1669 0.5874 -0.7162 0.2093 -0.1835 0.6400
1311878194.4269 -2.3174 -2.1670 0.5874 -0.7163 0.2094 -0.1835 0.6398
1311878194.4301 -2.3174 -2.1669 0.5873 -0.7163 0.2093 -0.1835 0.6399
1311878194.4334 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1835 0.6399
1311878194.4368 -2.3174 -2.1669 0.5874 -0.7161 0.2094 -0.1836 0.6401
1311878194.4401 -2.3174 -2.1669 0.5873 -0.7163 0.2094 -0.1835 0.6398
1311878194.4435 -2.3174 -2.1669 0.5873 -0.7163 0.2094 -0.1834 0.6398
1311878194.4468 -2.3174 -2.1669 0.5873 -0.7163 0.2093 -0.1835 0.6399
1311878194.4503 -2.3174 -2.1669 0.5873 -0.7163 0.2095 -0.1835 0.6398
1311878194.4535 -2.3174 -2.1669 0.5874 -0.7161 0.2093 -0.1836 0.6401
1311878194.4568 -2.3174 -2.1670 0.5873 -0.7163 0.2094 -0.1835 0.6399
1311878194.4602 -2.3173 -2.1669 0.5874 -0.7162 0.2093 -0.1835 0.6399
1311878194.4635 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1835 0.6400
1311878194.4668 -2.3173 -2.1669 0.5874 -0.7162 0.2095 -0.1836 0.6399
1311878194.4701 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1835 0.6400
1311878194.4736 -2.3174 -2.1669 0.5874 -0.7161 0.2094 -0.1836 0.6400
1311878194.4768 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1835 0.6399
1311878194.4802 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1836 0.6399
1311878194.4835 -2.3174 -2.1670 0.5874 -0.7162 0.2094 -0.1835 0.6399
1311878194.4868 -2.3174 -2.1669 0.5874 -0.7163 0.2094 -0.1835 0.6399
1311878194.4925 -2.3174 -2.1670 0.5873 -0.7164 0.2093 -0.1835 0.6398
1311878194.4935 -2.3174 -2.1669 0.5873 -0.7163 0.2095 -0.1835 0.6398
1311878194.4969 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1836 0.6399
1311878194.5001 -2.3174 -2.1670 0.5873 -0.7163 0.2095 -0.1835 0.6398
1311878194.5035 -2.3174 -2.1669 0.5874 -0.7163 0.2094 -0.1835 0.6399
1311878194.5068 -2.3174 -2.1669 0.5874 -0.7163 0.2094 -0.1836 0.6399
1311878194.5102 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1834 0.6399
1311878194.5136 -2.3174 -2.1669 0.5874 -0.7161 0.2094 -0.1835 0.6400
1311878194.5169 -2.3174 -2.1669 0.5874 -0.7161 0.2093 -0.1835 0.6401
1311878194.5202 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1836 0.6399
1311878194.5236 -2.3173 -2.1669 0.5873 -0.7162 0.2095 -0.1836 0.6399
1311878194.5269 -2.3173 -2.1669 0.5874 -0.7161 0.2094 -0.1837 0.6400
1311878194.5303 -2.3175 -2.1669 0.5873 -0.7164 0.2093 -0.1833 0.6399
1311878194.5336 -2.3173 -2.1669 0.5874 -0.7162 0.2094 -0.1837 0.6399
1311878194.5369 -2.3175 -2.1670 0.5873 -0.7165 0.2093 -0.1834 0.6397
1311878194.5402 -2.3174 -2.1669 0.5874 -0.7163 0.2094 -0.1835 0.6399
1311878194.5436 -2.3174 -2.1670 0.5874 -0.7163 0.2094 -0.1836 0.6398
1311878194.5468 -2.3174 -2.1669 0.5874 -0.7162 0.2095 -0.1836 0.6399
1311878194.5502 -2.3173 -2.1669 0.5874 -0.7162 0.2093 -0.1836 0.6400
1311878194.5536 -2.3173 -2.1669 0.5874 -0.7160 0.2094 -0.1836 0.6401
1311878194.5568 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1835 0.6400
1311878194.5602 -2.3174 -2.1669 0.5873 -0.7162 0.2095 -0.1835 0.6399
1311878194.5635 -2.3174 -2.1670 0.5874 -0.7163 0.2095 -0.1835 0.6399
1311878194.5668 -2.3174 -2.1669 0.5874 -0.7161 0.2093 -0.1835 0.6401
1311878194.5701 -2.3174 -2.1670 0.5874 -0.7162 0.2095 -0.1836 0.6398
1311878194.5735 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1836 0.6400
1311878194.5768 -2.3174 -2.1669 0.5873 -0.7162 0.2094 -0.1836 0.6399
1311878194.5801 -2.3174 -2.1670 0.5874 -0.7163 0.2095 -0.1836 0.6398
1311878194.5834 -2.3173 -2.1669 0.5874 -0.7162 0.2095 -0.1837 0.6399
1311878194.5868 -2.3174 -2.1670 0.5873 -0.7164 0.2094 -0.1835 0.6398
1311878194.5901 -2.3173 -2.1669 0.5874 -0.7162 0.2093 -0.1837 0.6399
1311878194.5934 -2.3173 -2.1669 0.5874 -0.7161 0.2094 -0.1837 0.6400
1311878194.5968 -2.3173 -2.1669 0.5874 -0.7161 0.2095 -0.1837 0.6399
1311878194.6001 -2.3174 -2.1670 0.5873 -0.7163 0.2095 -0.1835 0.6397
1311878194.6034 -2.3174 -2.1669 0.5873 -0.7162 0.2095 -0.1837 0.6399
1311878194.6068 -2.3173 -2.1669 0.5874 -0.7162 0.2095 -0.1837 0.6399
1311878194.6103 -2.3173 -2.1669 0.5874 -0.7161 0.2094 -0.1836 0.6400
1311878194.6137 -2.3173 -2.1669 0.5874 -0.7162 0.2095 -0.1836 0.6399
1311878194.6169 -2.3172 -2.1669 0.5874 -0.7160 0.2096 -0.1838 0.6400
1311878194.6202 -2.3173 -2.1669 0.5874 -0.7161 0.2095 -0.1837 0.6399
1311878194.6236 -2.3173 -2.1669 0.5874 -0.7162 0.2095 -0.1836 0.6398
1311878194.6269 -2.3173 -2.1669 0.5874 -0.7161 0.2096 -0.1837 0.6399
1311878194.6303 -2.3173 -2.1669 0.5874 -0.7161 0.2095 -0.1837 0.6399
1311878194.6337 -2.3173 -2.1669 0.5874 -0.7161 0.2097 -0.1837 0.6399
1311878194.6369 -2.3173 -2.1669 0.5874 -0.7161 0.2095 -0.1836 0.6400
1311878194.6402 -2.3172 -2.1669 0.5874 -0.7159 0.2096 -0.1839 0.6401
1311878194.6438 -2.3173 -2.1670 0.5874 -0.7163 0.2096 -0.1837 0.6397
1311878194.6470 -2.3173 -2.1669 0.5874 -0.7162 0.2096 -0.1837 0.6398
1311878194.6504 -2.3173 -2.1670 0.5874 -0.7161 0.2097 -0.1838 0.6398
1311878194.6537 -2.3172 -2.1669 0.5874 -0.7160 0.2095 -0.1839 0.6400
1311878194.6570 -2.3172 -2.1669 0.5873 -0.7160 0.2096 -0.1839 0.6400
1311878194.6603 -2.3172 -2.1669 0.5873 -0.7161 0.2096 -0.1838 0.6399
1311878194.6637 -2.3172 -2.1669 0.5873 -0.7163 0.2096 -0.1838 0.6397
1311878194.6670 -2.3173 -2.1669 0.5873 -0.7164 0.2097 -0.1837 0.6396
1311878194.6703 -2.3172 -2.1669 0.5873 -0.7163 0.2097 -0.1838 0.6396
1311878194.6737 -2.3172 -2.1669 0.5873 -0.7162 0.2097 -0.1839 0.6398
1311878194.6767 -2.3172 -2.1668 0.5873 -0.7161 0.2098 -0.1839 0.6398
1311878194.6800 -2.3171 -2.1668 0.5873 -0.7162 0.2098 -0.1840 0.6397
1311878194.6834 -2.3172 -2.1669 0.5873 -0.7163 0.2099 -0.1839 0.6395
1311878194.6867 -2.3172 -2.1669 0.5873 -0.7164 0.2099 -0.1840 0.6395
1311878194.6900 -2.3172 -2.1669 0.5873 -0.7162 0.2100 -0.1841 0.6396
1311878194.6934 -2.3171 -2.1669 0.5873 -0.7161 0.2100 -0.1841 0.6397
1311878194.6973 -2.3172 -2.1669 0.5873 -0.7161 0.2100 -0.1841 0.6397
1311878194.7000 -2.3172 -2.1669 0.5873 -0.7161 0.2101 -0.1840 0.6397
1311878194.7034 -2.3171 -2.1669 0.5874 -0.7159 0.2100 -0.1841 0.6399
1311878194.7067 -2.3171 -2.1669 0.5874 -0.7159 0.2101 -0.1843 0.6399
1311878194.7104 -2.3171 -2.1670 0.5873 -0.7159 0.2101 -0.1842 0.6399
1311878194.7137 -2.3172 -2.1670 0.5874 -0.7159 0.2100 -0.1841 0.6399
1311878194.7170 -2.3172 -2.1670 0.5874 -0.7159 0.2100 -0.1841 0.6399
1311878194.7204 -2.3172 -2.1670 0.5874 -0.7160 0.2100 -0.1843 0.6398
1311878194.7237 -2.3171 -2.1670 0.5874 -0.7159 0.2101 -0.1842 0.6399
1311878194.7271 -2.3172 -2.1670 0.5874 -0.7159 0.2099 -0.1842 0.6399
1311878194.7304 -2.3172 -2.1670 0.5874 -0.7159 0.2100 -0.1842 0.6399
1311878194.7337 -2.3172 -2.1670 0.5874 -0.7159 0.2100 -0.1843 0.6399
1311878194.7370 -2.3171 -2.1670 0.5874 -0.7156 0.2101 -0.1845 0.6401
1311878194.7404 -2.3171 -2.1670 0.5874 -0.7156 0.2101 -0.1843 0.6401
1311878194.7437 -2.3171 -2.1670 0.5874 -0.7157 0.2101 -0.1843 0.6400
1311878194.7470 -2.3171 -2.1671 0.5874 -0.7156 0.2103 -0.1846 0.6400
1311878194.7504 -2.3172 -2.1671 0.5874 -0.7157 0.2101 -0.1844 0.6400
1311878194.7536 -2.3172 -2.1671 0.5874 -0.7158 0.2102 -0.1844 0.6399
1311878194.7570 -2.3172 -2.1671 0.5874 -0.7158 0.2103 -0.1845 0.6398
1311878194.7603 -2.3171 -2.1671 0.5874 -0.7156 0.2102 -0.1846 0.6400
1311878194.7637 -2.3171 -2.1671 0.5874 -0.7157 0.2104 -0.1847 0.6398
1311878194.7670 -2.3171 -2.1671 0.5874 -0.7156 0.2104 -0.1847 0.6399
